0010180,48
0010380,72
0010420,39
0010500,13
0010580,36
0010740,35
0010780,22
0010900,34
0010900,42
0011020,42
0011100,48
0011180,19
0011260,02
0011300,18
0011340,45
0011460,26
0011500,01
0011540,55
0011700,37
0012020,13
0012060,13
0012100,34
0012220,01
0012260,13
0012260,45
0012420,48
0012540,06
0012580,24
0012940,22
0012980,26
0013020,26
0013140,48
0013380,53
0013460,41
0013644,24
0013740,30
0013780,36
0013820,01
0013900,38
0013980,51
0014020,18
0014060,17
0014260,16
0014500,08
0014540,21
0014740,53
0015180,48
0015260,13
0015380,36
0015500,37
0015804,34
0015940,39
0015980,12
0016020,17
0016020,29
0016180,32
0016220,56
0016300,19
0016580,17
0016620,54
0016700,45
0016740,37
0016740,45
0016820,51
0016860,13
0016860,47
0016940,56
0016974,17
0016980,17
0017020,06
0017140,18
0017140,21
0017140,39
0017300,21
0017300,47
0017420,47
0017460,39
0017660,16
0017780,48
0017820,08
0017860,29
0017900,45
0017980,01
0017980,13
0018020,18
0018140,39
0018580,48
0018700,41
0018880,12
0019060,24
0019060,54
0019100,48
0019124,48
0019140,13
0019180,17
0019260,51
0019340,17
0019340,19
0019380,39
0019460,01
0019500,17
0019660,12
0019740,08
0019780,19
0019804,26
0019820,26
0020020,01
0020100,10
0020220,19
0020260,27
0020260,55
0020500,37
0020740,55
0020764,34
0020940,06
0021060,21
0021140,18
0021300,36
0021340,48
0021500,42
0021660,41
0021780,18
0021780,21
0021820,02
0021940,72
0022020,27
0022020,38
0022140,35
0022180,37
0022220,05
0022220,29
0022380,04
0022420,26
0022500,45
0022520,01
0022540,55
0022660,08
0022744,12
0022900,05
0022900,40
0023060,18
0023104,48
0023420,06
0023460,01
0023540,12
0023580,13
0023844,18
0024020,36
0024140,37
0024220,27
0024220,38
0024300,08
0024340,26
0024500,30
0024540,08
0024580,55
0024660,37
0024780,37
0024860,45
0025020,72
0025060,28
0025180,24
0025180,54
0025260,06
0025420,42
0025500,51
0025620,28
0025860,37
0025980,13
0026100,26
0026180,15
0026300,05
0026380,22
0026420,48
0026580,21
0026580,39
0026580,54
0026620,01
0026820,16
0026900,18
0026980,19
0027060,36
0027100,26
0027140,28
0027180,47
0027260,12
0027340,37
0027500,55
0027620,29
0027740,47
0027780,42
0027860,05
0027900,29
0028020,26
0028100,17
0028140,20
0028140,29
0028420,53
0028660,48
0028700,47
0028700,51
0028740,36
0028940,47
0029020,18
0029100,27
0029100,55
0029140,18
0029180,22
0029340,22
0029404,17
0029404,55
0029420,04
0029460,12
0029540,42
0029620,26
0029700,48
0029740,35
0029820,32
0029940,20
0030020,40
0030140,42
0030300,16
0030300,53
0030460,21
0030620,39
0030700,31
0030780,05
0030860,16
0030860,49
0030980,48
0031020,53
0031084,06
0031100,06
0031140,18
0031140,21
0031180,48
0031340,51
0031420,13
0031460,06
0031540,55
0031740,20
0031860,27
0031900,39
0032420,72
0032580,48
0032780,41
0032820,05
0032820,28
0032820,47
0032900,06
0033100,12
0033124,12
0033140,18
0033260,48
0033340,55
0033460,27
0033460,55
0033540,30
0033660,01
0033700,06
0033740,22
0033780,26
0033860,01
0034060,54
0034100,47
0034580,53
0034620,18
0034740,26
0034820,45
0034900,06
0034940,12
0034980,47
0035004,36
0035084,34
0035084,42
0035380,22
0035620,36
0035644,34
0035644,36
0035660,26
0035840,12
0036084,06
0036100,12
0036140,34
0036220,48
0036260,49
0036420,40
0036500,53
0036540,19
0036540,31
0036740,12
0036780,55
0036980,21
0037100,06
0037340,12
0037380,12
0037460,12
0037620,39
0037620,54
0037700,28
0037860,12
0037900,17
0037964,42
0037980,42
0038060,04
0038220,05
0038300,42
0038540,16
0038660,72
0038900,41
0038900,53
0038940,12
0039100,36
0039140,04
0039340,49
0039380,08
0039460,12
0039540,55
0039580,37
0039660,46
0039740,42
0039820,06
0039900,32
0040060,51
0040140,06
0040220,51
0040340,27
0040380,36
0040420,17
0040580,37
0040660,13
0040900,06
0040980,26
0041060,27
0041100,49
0041140,20
0041140,29
0041180,17
0041180,29
0041420,41
0041500,06
0041540,24
0041620,49
0041660,48
0041700,48
0041740,06
0041780,39
0041860,06
0041884,06
0041900,72
0041940,06
0041980,72
0042020,06
0042044,06
0042060,06
0042100,06
0042140,35
0042220,06
0042340,13
0042540,42
0042644,53
0042660,53
0042680,12
0043100,55
0043300,48
0043340,22
0043580,19
0043580,31
0043580,46
0043620,46
0043780,18
